ProductID,ProductName,Category,Brand,Price,Description,Rating
46,Realme Mobile 1,Mobile,Realme,5884,Mobile by Realme suitable for everyday use with quality performance.,3.8
47,Realme Mobile 2,Mobile,Realme,54280,Mobile by Realme suitable for everyday use with quality performance.,3.8
48,Realme Mobile 3,Mobile,Realme,77947,Mobile by Realme suitable for everyday use with quality performance.,4.8
49,Realme Mobile 4,Mobile,Realme,54997,Mobile by Realme suitable for everyday use with quality performance.,4.3
50,Realme Mobile 5,Mobile,Realme,74714,Mobile by Realme suitable for everyday use with quality performance.,4.8
51,Sony Headphones 1,Headphones,Sony,14548,Headphones by Sony suitable for everyday use with quality performance.,4.0
52,Sony Headphones 2,Headphones,Sony,34949,Headphones by Sony suitable for everyday use with quality performance.,4.4
53,Sony Headphones 3,Headphones,Sony,64130,Headphones by Sony suitable for everyday use with quality performance.,4.5
54,Sony Headphones 4,Headphones,Sony,73727,Headphones by Sony suitable for everyday use with quality performance.,3.9
55,Sony Headphones 5,Headphones,Sony,86178,Headphones by Sony suitable for everyday use with quality performance.,4.6
56,Boat Headphones 1,Headphones,Boat,40053,Headphones by Boat suitable for everyday use with quality performance.,4.6
57,Boat Headphones 2,Headphones,Boat,74121,Headphones by Boat suitable for everyday use with quality performance.,4.7
58,Boat Headphones 3,Headphones,Boat,57265,Headphones by Boat suitable for everyday use with quality performance.,4.1
59,Boat Headphones 4,Headphones,Boat,20663,Headphones by Boat suitable for everyday use with quality performance.,4.2
60,Boat Headphones 5,Headphones,Boat,80727,Headphones by Boat suitable for everyday use with quality performance.,4.8
61,JBL Headphones 1,Headphones,JBL,23932,Headphones by JBL suitable for everyday use with quality performance.,4.3
62,JBL Headphones 2,Headphones,JBL,18466,Headphones by JBL suitable for everyday use with quality performance.,3.8
63,JBL Headphones 3,Headphones,JBL,27851,Headphones by JBL suitable for everyday use with quality performance.,4.1
64,JBL Headphones 4,Headphones,JBL,42873,Headphones by JBL suitable for everyday use with quality performance.,4.0
65,JBL Headphones 5,Headphones,JBL,62032,Headphones by JBL suitable for everyday use with quality performance.,3.9
66,Noise Headphones 1,Headphones,Noise,46039,Headphones by Noise suitable for everyday use with quality performance.,4.5
67,Noise Headphones 2,Headphones,Noise,27742,Headphones by Noise suitable for everyday use with quality performance.,4.3
68,Noise Headphones 3,Headphones,Noise,36532,Headphones by Noise suitable for everyday use with quality performance.,4.3
69,Noise Headphones 4,Headphones,Noise,38668,Headphones by Noise suitable for everyday use with quality performance.,4.5
70,Noise Headphones 5,Headphones,Noise,29614,Headphones by Noise suitable for everyday use with quality performance.,4.2
71,boAt Headphones 1,Headphones,boAt,64051,Headphones by boAt suitable for everyday use with quality performance.,4.9
72,boAt Headphones 2,Headphones,boAt,26772,Headphones by boAt suitable for everyday use with quality performance.,4.0
73,boAt Headphones 3,Headphones,boAt,37394,Headphones by boAt suitable for everyday use with quality performance.,4.5
74,boAt Headphones 4,Headphones,boAt,56833,Headphones by boAt suitable for everyday use with quality performance.,3.8
75,boAt Headphones 5,Headphones,boAt,17510,Headphones by boAt suitable for everyday use with quality performance.,4.4
76,Samsung Smartwatch 1,Smartwatch,Samsung,66190,Smartwatch by Samsung suitable for everyday use with quality performance.,4.3
77,Samsung Smartwatch 2,Smartwatch,Samsung,51893,Smartwatch by Samsung suitable for everyday use with quality performance.,4.6
78,Samsung Smartwatch 3,Smartwatch,Samsung,9541,Smartwatch by Samsung suitable for everyday use with quality performance.,4.8
79,Samsung Smartwatch 4,Smartwatch,Samsung,78924,Smartwatch by Samsung suitable for everyday use with quality performance.,4.5
80,Samsung Smartwatch 5,Smartwatch,Samsung,39979,Smartwatch by Samsung suitable for everyday use with quality performance.,4.6
81,Noise Smartwatch 1,Smartwatch,Noise,88171,Smartwatch by Noise suitable for everyday use with quality performance.,4.2
82,Noise Smartwatch 2,Smartwatch,Noise,48367,Smartwatch by Noise suitable for everyday use with quality performance.,4.6
83,Noise Smartwatch 3,Smartwatch,Noise,53653,Smartwatch by Noise suitable for everyday use with quality performance.,4.3
84,Noise Smartwatch 4,Smartwatch,Noise,52668,Smartwatch by Noise suitable for everyday use with quality performance.,4.0
85,Noise Smartwatch 5,Smartwatch,Noise,45377,Smartwatch by Noise suitable for everyday use with quality performance.,4.7
86,Fire-Boltt Smartwatch 1,Smartwatch,Fire-Boltt,11992,Smartwatch by Fire-Boltt suitable for everyday use with quality performance.,4.7
87,Fire-Boltt Smartwatch 2,Smartwatch,Fire-Boltt,76966,Smartwatch by Fire-Boltt suitable for everyday use with quality performance.,4.6
88,Fire-Boltt Smartwatch 3,Smartwatch,Fire-Boltt,37483,Smartwatch by Fire-Boltt suitable for everyday use with quality performance.,4.2
89,Fire-Boltt Smartwatch 4,Smartwatch,Fire-Boltt,43577,Smartwatch by Fire-Boltt suitable for everyday use with quality performance.,4.8
90,Fire-Boltt Smartwatch 5,Smartwatch,Fire-Boltt,50979,Smartwatch by Fire-Boltt suitable for everyday use with quality performance.,4.0
91,Apple Smartwatch 1,Smartwatch,Apple,58178,Smartwatch by Apple suitable for everyday use with quality performance.,4.6
92,Apple Smartwatch 2,Smartwatch,Apple,24383,Smartwatch by Apple suitable for everyday use with quality performance.,4.2
93,Apple Smartwatch 3,Smartwatch,Apple,9445,Smartwatch by Apple suitable for everyday use with quality performance.,3.8
94,Apple Smartwatch 4,Smartwatch,Apple,41492,Smartwatch by Apple suitable for everyday use with quality performance.,4.7
95,Apple Smartwatch 5,Smartwatch,Apple,66045,Smartwatch by Apple suitable for everyday use with quality performance.,4.0
96,Amazfit Smartwatch 1,Smartwatch,Amazfit,10607,Smartwatch by Amazfit suitable for everyday use with quality performance.,4.3
97,Amazfit Smartwatch 2,Smartwatch,Amazfit,23551,Smartwatch by Amazfit suitable for everyday use with quality performance.,4.7
98,Amazfit Smartwatch 3,Smartwatch,Amazfit,43957,Smartwatch by Amazfit suitable for everyday use with quality performance.,4.8
99,Amazfit Smartwatch 4,Smartwatch,Amazfit,47084,Smartwatch by Amazfit suitable for everyday use with quality performance.,4.8
100,Amazfit Smartwatch 5,Smartwatch,Amazfit,63628,Smartwatch by Amazfit suitable for everyday use with quality performance.,4.7
